identifier;coord1_ICRS,J2000/2000_;MagB;MagV;MagR
HD 200253;21 01 12.8647634688 +36 01 33.642578532;7;5.997;nan
* tau Cyg;21 14 47.49252 +38 02 43.1441;4.12;3.73;3.38
* 61 Cyg A;21 06 53.9395895022 +38 44 57.902349973;6.39;5.21;4.19
* sig Cyg;21 17 24.9524404 +39 23 40.852798;4.37;4.24;4.06
V* V1334 Cyg;21 19 22.1791528656 +38 14 14.868825648;6.364;5.882;nan
* 74 Cyg;21 36 56.9752120080 +40 24 48.692268180;5.22;5.035;nan
HD 206749;21 43 06.4713509160 +41 09 17.902709244;7.106;5.505;nan
* 77 Cyg;21 42 22.9588733 +41 04 37.273655;5.777;5.726;nan
HD 211211;22 14 44.3613363960 +42 57 14.038829388;5.72;5.72;nan
* 6 Lac;22 30 29.2600453 +43 07 24.156435;4.4;4.511;nan
HD 215664;22 46 10.2221219664 +44 32 45.797281332;6.18;5.84;nan
* 11 Lac;22 40 30.8588068 +44 16 34.704241;5.79;4.46;3.54
HD 216608;22 53 40.1609179248 +44 44 57.015416328;6.075;5.808;nan
HD 216608A;22 53 40.156 +44 44 56.98;6.193;5.94;nan
* 4 And;23 07 39.2672021448 +46 23 14.030186820;6.702;5.294;nan
* psi And;23 46 02.0470343064 +46 25 12.986458896;6.064;4.966;nan
* lam And;23 37 33.8427800830 +46 27 29.344721109;4.84;3.82;3.04
HD 224165;23 55 33.4754737152 +47 21 20.893767696;7.161;5.989;nan
* 22 And;00 10 19.2465938 +46 04 20.180005;5.44;5.04;4.62
* pi. Cas;00 43 28.0696827024 +47 01 28.364798856;5.12;4.949;nan
* ksi And;01 22 20.4200755704 +45 31 43.596248844;5.951;4.868;nan
HD 8671;01 26 18.6862929120 +43 27 27.869935680;6.464;5.978;nan
* ome And;01 27 39.3807155195 +45 24 24.065127426;5.25;4.83;4.42
* chi And;01 39 20.9885732088 +44 23 10.229915472;5.886;5.008;nan
HD 10204;01 40 39.6574577184 +43 17 51.612331380;5.845;5.629;nan
HD 10307;01 41 47.1268541099 +42 36 48.221567818;5.58;4.96;4.43
* gam02 And;02 03 54.7580291496 +42 19 51.281119488;5.02;5.82;nan
* gam01 And;02 03 53.95229 +42 19 47.0223;3.3;2.1;1.16
HD 14622;02 22 50.3034199104 +41 23 46.657521456;6.063;5.795;nan
* 20 Per;02 53 42.61284 +38 20 14.9532;5.742;5.343;nan
* 75 Cyg;21 40 11.1100359936 +43 16 25.815895860;6.682;5.086;nan
HD 209945;22 06 01.9526899392 +45 00 51.650286984;6.649;5.07;nan
V* V1942 Cyg;22 02 56.66068 +44 38 59.5009;5.565;5.596;nan
HD 211096;22 13 49.2402464184 +45 26 26.201813100;5.53;5.53;nan
* 2 Lac;22 21 01.5472649 +46 32 11.646085;4.431;4.54;nan
* 5 Lac;22 29 31.8225058 +47 42 24.792707;6.05;4.37;2.98
* 7 And;23 12 33.0035121942 +49 24 22.345927341;4.81;4.52;4.23
* 8 And;23 17 44.6472657024 +49 00 55.082930904;6.53;4.86;3.4
* 11 And;23 19 29.8077401832 +48 37 31.163086704;6.453;5.44;nan
NGC 7686;23 29 41.3 +49 10 12;6.79;5.6;nan
* 18 And;23 39 08.3316539712 +50 28 18.237535608;5.24;5.35;nan
HD 1279;00 17 09.0440331312 +47 56 50.661966660;5.764;5.852;nan
HD 3574;00 39 09.8940906336 +49 21 16.517849688;7.072;5.419;nan
* omi Cas;00 44 43.5186650 +48 17 03.713573;4.44;4.5;4.45
* 68 Cas;00 44 26.1915514056 +47 51 50.342883408;5.52;5.648;nan
* phi And;01 09 30.12562 +47 14 30.4594;4.18;4.25;4.22
* phi And A;01 09 30.122064 +47 14 30.46772;4.54;4.294;nan
* phi And B;01 09 30.152592 +47 14 30.22678;5.55;5.62;nan
* 49 And;01 30 06.1015103472 +47 00 26.181123984;6.261;5.261;nan
* b And;02 13 13.3221992348 +44 13 53.927938133;6.32;4.826;nan
* 12 Per;02 42 14.9145674304 +40 11 38.221732500;5.51;4.92;4.42
* pi. Per;02 58 45.6701619312 +39 39 45.815580720;4.76;4.7;4.6
* rho Per;03 05 10.59385 +38 50 24.9943;5.04;3.39;1.59
* nu. Cyg;20 57 10.4190684 +41 10 01.699109;3.96;3.94;3.89
* ksi Cyg;21 04 55.8622910 +43 55 40.264460;5.39;3.73;2.55
* 68 Cyg;21 18 27.1862219256 +43 56 45.399147864;4.99;5;nan
* g Cyg;21 29 26.9497663992 +46 32 26.107970964;6.188;5.217;nan
* rho Cyg;21 33 58.8530450102 +45 35 30.620055459;4.91;4.02;3.31
V* W Cyg;21 36 02.4974143922 +45 22 28.523281074;6.97;5.38;3.03
* alf Lac;22 31 17.5013090 +50 16 56.968200;3.78;3.77;3.77
* 4 Lac;22 24 30.9914928480 +49 28 35.010584652;4.67;4.58;4.45
* 9 Lac;22 37 22.4172656 +51 32 42.438341;4.87;4.63;4.41
V* V424 Lac;22 56 25.9983901008 +49 44 00.758688324;6.71;4.94;3.59
V* R Cas;23 58 24.8682785040 +51 23 19.713029388;6.63;4.8;nan
HD 2054;00 25 06.4104962808 +53 02 48.414792012;5.654;5.719;nan
HD 1976;00 24 15.6540035976 +52 01 11.703208404;5.459;5.58;nan
HD 2774;00 31 41.1571969176 +52 50 22.301154708;6.765;5.596;nan
* nu. Cas;00 48 50.0214949536 +50 58 05.394457956;4.789;4.891;nan
* ksi Cas;00 42 03.8922075864 +50 30 45.120403944;4.71;4.81;4.82
* ups Per;01 37 59.5569926 +48 37 41.569533;4.85;3.57;2.61
* 3 Per;01 58 33.5059620456 +49 12 15.670560312;6.706;5.702;nan
* c And;02 19 16.7969275675 +47 22 47.913234056;5.31;5.31;nan
* 14 Per;02 44 05.1600277584 +44 17 49.341411348;6.32;5.435;nan
HD 18482;02 59 39.8786231400 +41 01 58.585315800;7.326;5.877;nan
* ome Per;03 11 17.3816089 +39 36 41.701398;5.728;4.607;nan
* bet Per;03 08 10.1324535 +40 57 20.328013;2.07;2.12;2.08
HD 20346;03 17 45.7545100344 +39 17 00.141698796;6.005;5.967;nan
* gam Cyg;20 22 13.7018357 +40 15 24.044963;2.9;2.23;1.74
HD 194193;20 22 45.2956089144 +41 01 33.645143784;7.53;5.93;nan
HD 197392;20 41 56.5014626472 +41 43 00.748143012;5.55;5.664;nan
HD 197139;20 40 03.1592062992 +43 27 31.959372924;7.156;5.965;nan
* 57 Cyg;20 53 14.7550278 +44 23 14.140852;4.63;4.77;4.84
* 60 Cyg;21 01 10.9277453472 +46 09 20.795190696;5.226;5.432;nan
HD 199098;20 53 18.5691518304 +45 10 54.050823876;6.55;5.462;nan
HD 199870;20 58 19.4663810952 +44 28 18.140900268;6.528;5.547;nan
HD 199579;20 56 34.7779063080 +44 55 29.000891928;6.01;5.96;nan
HD 204411;21 26 51.6219389280 +48 50 06.599806584;5.38;5.31;nan
HD 204153;21 25 19.5488561064 +46 42 51.628763376;5.907;5.58;5.4
HD 205314;21 32 56.5920346080 +49 58 39.478477980;5.721;5.755;nan
* pi.02 Cyg;21 46 47.6083178 +49 18 34.451096;4.11;4.18;nan
HD 210715;22 11 09.8935953888 +50 49 24.294385812;5.517;5.377;nan
* bet Lac;22 23 33.6237466 +52 13 44.564655;5.46;4.44;3.67
HD 214878;22 40 18.4069877640 +53 50 45.336101820;6.877;5.92;nan
V* V1022 Cas;23 57 08.4720606576 +55 42 20.539344420;6.033;5.561;nan
HD 4222;00 45 17.1736522992 +55 13 17.030998092;5.423;5.41;nan
HD 3240;00 36 08.3101957104 +54 10 06.419675676;4.967;5.076;nan
* zet Cas;00 36 58.2841866 +53 53 48.867311;3.47;3.66;3.74
HD 2952;00 33 10.3944926208 +54 53 41.949623868;6.959;5.922;nan
* lam Cas A;00 31 46.316736 +54 31 20.32284;5.24;5.35;nan
HD 6211;01 04 02.3905242984 +52 30 07.782640236;7.434;5.977;nan
* mu. Cas;01 08 16.3029454473 +54 55 12.561201263;5.86;5.17;4.55
HD 11151;01 50 57.1281289032 +51 56 00.303705744;6.385;5.951;nan
* 2 Per;01 52 09.3723086736 +50 47 34.054111608;5.623;5.689;nan
* 65 And;02 25 37.4229761208 +50 16 43.063334724;6.249;4.71;nan
* 63 And;02 20 58.2015432888 +50 09 05.385224196;5.46;5.59;nan
* 64 And;02 24 24.9159941400 +50 00 23.555997036;6.17;5.19;nan
HD 17656;02 51 41.7299294160 +46 50 30.990321528;6.762;5.859;nan
* kap Per;03 09 29.8036400506 +44 51 26.849828627;4.79;3.81;3.07
